epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,33.7466,0.37701,0.47609,0.96594,0.99653,1,0.995,0.97157,0.29308,0.40232,0.87368,0.0011486,0.0011486,0.0011486
45,34.4751,0.3954,0.48427,0.93493,0.99643,1,0.995,0.94801,0.32202,0.42282,0.89418,0.0011288,0.0011288,0.0011288
46,35.2025,0.37706,0.47239,0.95709,0.99643,1,0.995,0.94801,0.32202,0.42282,0.89418,0.001109,0.001109,0.001109
47,35.9401,0.36937,0.45534,0.96751,0.99644,1,0.995,0.98454,0.27716,0.42195,0.88262,0.0010892,0.0010892,0.0010892
48,36.6858,0.39555,0.49493,0.97144,0.99644,1,0.995,0.98674,0.27009,0.40659,0.86321,0.0010694,0.0010694,0.0010694
49,37.4194,0.44092,0.5092,1.02645,0.91604,0.7278,0.80667,0.69659,0.55684,1.32783,1.15344,0.0010496,0.0010496,0.0010496
50,38.1686,0.40895,0.469,0.95531,1,0.72709,0.89782,0.72816,0.5883,1.35203,1.18159,0.0010298,0.0010298,0.0010298
51,38.9079,0.36633,0.46727,0.94945,0.9535,0.73333,0.92765,0.72631,0.59255,1.48704,1.20345,0.00101,0.00101,0.00101
52,39.6427,0.36166,0.46647,0.96894,0.95087,0.86667,0.98688,0.85888,0.38965,0.93333,1.01351,0.0009902,0.0009902,0.0009902
53,40.3748,0.38856,0.45345,0.97744,0.99555,1,0.995,0.9636,0.26717,0.41833,0.86712,0.0009704,0.0009704,0.0009704
54,41.0994,0.37992,0.43394,0.97425,0.99555,1,0.995,0.9636,0.26717,0.41833,0.86712,0.0009506,0.0009506,0.0009506
